refNum,lowBox,lowPaper,highBox,highPaper,lowPrice,highPrice,highLink,lowLink,lowAge,highAge,lowDealerStatus,highDealerStatus,generalLink,dateOfScrape,imageLow,imageHigh,brandLow,brandHigh,website,lowSku,highSku,
116610LN-0001,Yes,Yes,Yes,Yes,13995,14995,https://www.luxurybazaar.com/rolex-watch-116610ln-9,https://www.luxurybazaar.com/rolex-submariner-date-watch-116610ln-10,2020,2017,,,https://www.luxurybazaar.com/search-results?q=116610LN,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_197857_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,Rolex,Rolex,LuxuryBazaar,205167,203967,
126610LV-0002,Yes,Yes,Yes,Yes,20995,20995,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,2022,2022,,,https://www.luxurybazaar.com/search-results?q=126610LV,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,Rolex,Rolex,LuxuryBazaar,204885,204885,
116610LV-0002,No,No,No,No,26295,26295,https://www.luxurybazaar.com/rolex-watch-116610lv-5,https://www.luxurybazaar.com/rolex-watch-116610lv-5,,,,,https://www.luxurybazaar.com/search-results?q=116610LV,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpg,Rolex,Rolex,LuxuryBazaar,202818,202818,
16610 BLK OYS,Yes,Yes,Yes,Yes,13995,20595,https://www.luxurybazaar.com/rolex-submariner-date-kermit-watch-16610lv-1,https://www.luxurybazaar.com/rolex-submariner-date-watch-116610ln-10,2020,2006,,,https://www.luxurybazaar.com/search-results?q=16610#/filter:lux_wa_dialcolor:Black,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_197857_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16610lv_204753_33694.jpg,Rolex,Rolex,LuxuryBazaar,205167,204753,
114060-0002,Yes,Yes,Yes,Yes,13995,14595,https://www.luxurybazaar.com/rolex-watch-114060-4,https://www.luxurybazaar.com/rolex-watch-114060-3,2020,2020,,,https://www.luxurybazaar.com/search-results?q=114060,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114060_204215_32353.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,Rolex,Rolex,LuxuryBazaar,204215,204637,
126600-0001,Yes,Yes,Yes,Yes,15195,15195,https://www.luxurybazaar.com/rolex-oystersteel-sea-dweller-black-dial-watch-126600-0001-7,https://www.luxurybazaar.com/rolex-oystersteel-sea-dweller-black-dial-watch-126600-0001-7,2019,2019,,,https://www.luxurybazaar.com/search-results?q=126600,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126600_205391_1061.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126600_205391_1061.jpg,Rolex,Rolex,LuxuryBazaar,205391,205391,
116900-0001,Yes,Yes,Yes,Yes,10995,11595,https://www.luxurybazaar.com/rolex-watch-116900-2,https://www.luxurybazaar.com/rolex-air-king-watch-116900-0001-1,2020,,,,https://www.luxurybazaar.com/search-results?q=116900,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204783_33810.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204159_32174.jpg,Rolex,Rolex,LuxuryBazaar,204783,204159,
126711CHNR-0002,Yes,Yes,Yes,Yes,19995,19995,https://www.luxurybazaar.com/rolex-watch126711chnr-1,https://www.luxurybazaar.com/rolex-watch126711chnr-1,2018,2018,,,https://www.luxurybazaar.com/search-results?q=126711CHNR,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126711chnr_204113_32285.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126711chnr_204113_32285.jpeg,Rolex,Rolex,LuxuryBazaar,205468,205468,
126710BLRO-0001,Yes,Yes,Yes,Yes,23995,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,2020,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO-0001,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205114,205114,
126710BLRO-0002,Yes,Yes,Yes,Yes,23995,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,2020,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO,2022_08_25,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205114,205114,
