refNum,lowBox,lowPaper,highBox,highPaper,lowPrice,highPrice,highLink,lowLink,lowAge,highAge,lowDealerStatus,highDealerStatus,generalLink,dateOfScrape,imageLow,imageHigh,brandLow,brandHigh,website,lowSku,highSku,
116610LN-0001,Yes,Yes,Yes,Yes,13750,13750,https://www.luxurybazaar.com/rolex-watch-116610ln-9,https://www.luxurybazaar.com/rolex-watch-116610ln-9,2017,2017,,,https://www.luxurybazaar.com/search-results?q=116610LN,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,Rolex,Rolex,LuxuryBazaar,203967,203967,
126610LV-0002,Yes,Yes,Yes,Yes,20995,20995,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,2022,2022,,,https://www.luxurybazaar.com/search-results?q=126610LV,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,Rolex,Rolex,LuxuryBazaar,204885,204885,
16610 BLK OYS,Yes,Yes,Yes,Yes,13750,19950,https://www.luxurybazaar.com/rolex-submariner-date-kermit-watch-16610lv-1,https://www.luxurybazaar.com/rolex-watch-116610ln-9,2017,2006,,,https://www.luxurybazaar.com/search-results?q=16610#/filter:lux_wa_dialcolor:Black,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16610lv_204753_33694.jpg,Rolex,Rolex,LuxuryBazaar,203967,204753,
114060-0002,Yes,Yes,Yes,Yes,13450,13450,https://www.luxurybazaar.com/rolex-watch-114060-4,https://www.luxurybazaar.com/rolex-watch-114060-4,2020,2020,,,https://www.luxurybazaar.com/search-results?q=114060,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,Rolex,Rolex,LuxuryBazaar,204637,204637,
126600-0001,Yes,Yes,Yes,Yes,15950,15950,https://www.luxurybazaar.com/rolex-watch-126600-4,https://www.luxurybazaar.com/rolex-watch-126600-4,2021,2021,,,https://www.luxurybazaar.com/search-results?q=126600,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126600_205391_1061a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126600_205391_1061a.jpg,Rolex,Rolex,LuxuryBazaar,205698,205698,
116900-0001,Yes,Yes,Yes,Yes,9495,11595,https://www.luxurybazaar.com/rolex-watch-116900-2,https://www.luxurybazaar.com/rolex-watch-116900-3,2020,,,,https://www.luxurybazaar.com/search-results?q=116900,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_205504_1353.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204159_32174.jpg,Rolex,Rolex,LuxuryBazaar,205504,204159,
16570 BLK IX OYS,No,No,No,No,10995,10995,https://www.luxurybazaar.com/rolex-watch-216570-10,https://www.luxurybazaar.com/rolex-watch-216570-10,2016,2016,,,https://www.luxurybazaar.com/search-results?q=16570#/filter:lux_wa_dialcolor:Black,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205638_1607.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205638_1607.jpg,Rolex,Rolex,LuxuryBazaar,205638,205638,
16570 WHT IX OYS,Yes,Yes,Yes,Yes,13195,13195,https://www.luxurybazaar.com/rolex-watch-216570-9,https://www.luxurybazaar.com/rolex-watch-216570-9,2021,2021,,,https://www.luxurybazaar.com/search-results?q=16570#/filter:lux_wa_dialcolor:White,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205622_1566.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205622_1566.jpg,Rolex,Rolex,LuxuryBazaar,205622,205622,
116613LB,No,No,No,No,17995,17995,https://www.luxurybazaar.com/rolex-watch-116613lb-3,https://www.luxurybazaar.com/rolex-watch-116613lb-3,2017,2017,,,https://www.luxurybazaar.com/search-results?q=116613LB,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116613lb_205660_2213a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116613lb_205660_2213a.jpg,Rolex,Rolex,LuxuryBazaar,205660,205660,
126710BLRO-0001,Yes,Yes,Yes,Yes,22195,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blro-0001-6,2021,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO-0001,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro0001_205508_1346.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205508,205114,
126710BLRO-0002,Yes,Yes,Yes,Yes,22195,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blro-0001-6,2021,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro0001_205508_1346.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205508,205114,
116400GV-0002,Yes,Yes,Yes,Yes,13450,13450,https://www.luxurybazaar.com/rolex-watch-1166400gv,https://www.luxurybazaar.com/rolex-watch-1166400gv,2017,2017,,,https://www.luxurybazaar.com/search-results?q=116400GV#/filter:lux_wa_dialcolor:Blue,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_198523_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_198523_1.jpeg,Rolex,Rolex,LuxuryBazaar,200050,200050,
126710BLNR-0002,Yes,Yes,Yes,Yes,20950,20950,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blnr-0002-13,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blnr-0002-13,2019,2019,,,https://www.luxurybazaar.com/search-results?q=126710BLNR-0002,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126720blnr_199017_1_1a_1_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126720blnr_199017_1_1a_1_1.jpeg,Rolex,Rolex,LuxuryBazaar,204931,204931,
216570-0001,Yes,Yes,Yes,Yes,13195,13195,https://www.luxurybazaar.com/rolex-watch-216570-9,https://www.luxurybazaar.com/rolex-watch-216570-9,2021,2021,,,https://www.luxurybazaar.com/search-results?q=216570#/filter:lux_wa_dialcolor:White,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205622_1566.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205622_1566.jpg,Rolex,Rolex,LuxuryBazaar,205622,205622,
216570-0002,No,No,No,No,10995,10995,https://www.luxurybazaar.com/rolex-watch-216570-10,https://www.luxurybazaar.com/rolex-watch-216570-10,2016,2016,,,https://www.luxurybazaar.com/search-results?q=216570#/filter:lux_wa_dialcolor:Black,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205638_1607.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_216570_205638_1607.jpg,Rolex,Rolex,LuxuryBazaar,205638,205638,
WSSA0030,No,No,No,No,7950,7950,https://www.luxurybazaar.com/cartier-watch-wssa0030,https://www.luxurybazaar.com/cartier-watch-wssa0030,,,,,https://www.luxurybazaar.com/search-results?q=WSSA0030,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cartier_wssa0030_200631_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cartier_wssa0030_200631_1.jpg,Cartier,Cartier,LuxuryBazaar,200631,200631,
16613 BLU IX OYS,Yes,Yes,No,No,12395,17995,https://www.luxurybazaar.com/rolex-watch-116613lb-3,https://www.luxurybazaar.com/rolex-watch-16613-8,1995,2017,,,https://www.luxurybazaar.com/search-results?q=16613#/filter:lux_wa_dialcolor:Blue,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16613_203703_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116613lb_205660_2213a.jpg,Rolex,Rolex,LuxuryBazaar,203703,205660,
116660-0001,No,No,No,No,13295,13995,https://www.luxurybazaar.com/rolex-watch-116660-3,https://www.luxurybazaar.com/rolex-sea-dweller-deepsea-watch-116660-3,2013,2009,,,https://www.luxurybazaar.com/search-results?q=116660,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116660_205303_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116660_205751_2219.jpg,Rolex,Rolex,LuxuryBazaar,205303,205751,
114270-0001,Yes,Yes,Yes,Yes,7495,7495,https://www.luxurybazaar.com/rolex-explorer-i-mens-automatic-watch-114270-2,https://www.luxurybazaar.com/rolex-explorer-i-mens-automatic-watch-114270-2,2006,2006,,,https://www.luxurybazaar.com/search-results?q=114270,2022_09_09,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114270_204610_33416.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114270_204610_33416.jpg,Rolex,Rolex,LuxuryBazaar,204610,204610,
